TFs,Expr_Fraction_12,Mean_Expr_12
14-3-3epsilon,1.0,11.7077125128
14-3-3zeta,1.0,10.5019704522
ab,0.5625,4.35967506563
abd-A,0.0,0.0
Abd-B,0.0625,0.407648549551
abo,0.0,0.0
abs,0.0,0.0
ac,0.0,0.0
Acf,0.3125,2.26412445885
achi,0.0625,0.391984617262
acj6,0.875,7.39710277335
Ada2a,0.125,0.649456708861
Ada2b,0.0625,0.488431255849
ADD1,0.125,0.944361456816
Adf1,0.3125,2.73643732643
adp,0.125,1.08831372936
Aef1,0.1875,1.41517842281
al,0.0,0.0
Alh,0.375,3.30317149734
amos,0.0,0.0
Antp,0.0,0.0
aop,0.25,2.05796956141
ap,0.0,0.204968004621
apt,0.125,1.23024511336
ara,0.0,0.0
Asciz,0.0,0.0
ase,0.0,0.0
ash1,0.1875,1.58273468144
ash2,0.25,1.70378672525
Atac3,0.1875,1.55405512122
ATbp,0.0,0.0
Atf-2,0.0625,0.554341176954
Atf3,0.1875,1.35673662623
Atf6,0.125,1.031744736
ato,0.0,0.0
Awh,0.0,0.0
az2,0.0625,0.194551508871
B-H1,0.0,0.0
B-H2,0.0,0.0
bab1,0.1875,1.30967672145
bab2,0.3125,2.16342276217
baf,0.1875,1.42543597065
bap,0.0,0.0
Bap111,0.1875,1.76039890464
Bap170,0.125,0.834339803016
bbx,0.0,0.0
bcd,0.0,0.0
BEAF-32,0.1875,1.94369202434
betaNACtes3,0.0,0.0
Bgb,0.375,3.32490259183
bi,1.0,8.97319698255
bic,0.75,6.5083947964
BigH1,0.0,0.0
bigmax,0.125,0.862750223209
bin,0.0,0.0
bip2,0.5625,4.53024194339
Blimp-1,0.5,3.89624133945
Blm,0.125,1.12746063332
Blos1,0.25,1.69718859109
bon,0.375,3.49535987576
bowl,0.0,0.172612115316
br,0.0,0.0
Br140,0.0,0.0
brat,0.9375,8.87977866236
brk,0.0,0.0
brm,0.1875,1.19568178483
Bro,0.0,0.0
bs,0.0625,0.426722662908
bsh,0.0,0.0
BtbVII,0.1875,0.748406469919
btd,0.0,0.0
btn,0.0,0.0
btsz,0.1875,1.32199661434
Bug22,0.4375,3.88376235378
BuGZ,0.3125,2.47140436847
bun,0.75,6.67254311894
Bx,0.5,3.9557725239
byn,0.0,0.0
C15,0.0,0.0
cad,0.0,0.0
Camta,0.0625,0.201572823844
Cap-D2,0.0,0.0
capu,0.0625,0.524826573647
cas,0.0625,0.296581567591
cato,0.0,0.0
caup,0.0,0.0
cbt,0.4375,3.64220150767
CDC45L,0.0625,0.777010342846
Cdc5,0.25,1.51423590633
Cdk9,0.25,2.1183198949
Cenp-C,0.0,0.128545818385
Cf2,0.125,1.02216497248
cg,0.6875,5.84912828679
CG10147,0.0625,0.696958344009
CG10209,0.1875,1.70340769921
CG10211,0.0,0.0
CG10214,0.3125,2.28579398404
CG10232,0.0,0.0718994099919
CG1024,0.0625,0.463880802286
CG10274,0.125,1.29491008098
CG10321,0.25,2.18292540598
CG10348,0.0,0.0
CG10366,0.125,1.0016601688
CG10431,0.0,0.0
CG10445,0.0,0.0
CG10462,0.0,0.0
CG10543,0.1875,1.50522866503
CG10565,0.5,3.6464881804
CG10576,0.4375,3.76484351522
CG10631,0.125,1.01411762262
CG10654,0.125,0.683779627452
CG10669,0.0,0.0
CG10949,0.0625,0.584628203511
CG10959,0.0,0.0
CG10979,0.125,1.1710310177
CG11085,0.0,0.0
CG11122,0.125,1.11200491114
CG11247,0.3125,3.10378021856
CG11294,0.0,0.0
CG11317,0.125,0.997534797566
CG11398,0.0,0.0
CG11403,0.0,0.0
CG11414,0.25,2.34608579957
CG11456,0.0,0.0
CG11617,0.0,0.0
CG11695,0.125,1.13152484173
CG11696,0.1875,1.7444914258
CG11723,0.0625,0.513226922802
CG11835,0.0,0.0
CG11876,0.4375,3.61528983495
CG11902,0.125,1.15563003654
CG11906,0.0625,0.522409236086
CG11966,0.0,0.0
CG11970,0.0,0.0
CG12018,0.0,0.0
CG12054,0.25,2.24565568786
CG12071,0.5625,5.29875892708
CG12075,0.0,0.0
CG12219,0.125,0.802486983186
CG12236,0.3125,2.89061418476
CG12299,0.5625,4.97539539786
CG1233,0.125,0.871002194251
CG12391,0.125,0.85086107981
CG12605,0.3125,1.95952124563
CG12744,0.0,0.0
CG12769,0.0625,0.601812651531
CG12942,0.1875,1.72291697531
CG13123,0.0625,0.387512859136
CG13185,0.0,0.0
CG13204,0.1875,1.5104950241
CG13287,0.0,0.0
CG13296,0.0,0.0
CG13617,0.0625,0.483849306563
CG13773,0.0625,0.189152038376
CG13775,0.0,0.0
CG13796,0.0,0.0
CG13895,0.0,0.0
CG14117,0.0,0.0
CG14200,0.1875,1.53336135454
CG14438,0.25,1.81574441796
CG14441,0.125,0.845381319503
CG14451,0.0,0.0
CG14655,0.0625,0.453398787151
CG14667,0.0,0.0
CG14710,0.125,0.840982028206
CG14711,0.0,0.166827546598
CG15011,0.0625,0.626622211144
CG15073,0.0,0.0
CG15269,0.0,0.0
CG15286,0.0,0.0
CG1529,0.0,0.0
CG15336,0.0,0.0
CG15398,0.0625,0.506350130959
CG15435,0.1875,1.62869690957
CG15436,0.0,0.0706407680575
CG15440,0.125,1.09834273324
CG15514,0.25,1.9714743262
CG15696,0.0,0.0
CG15710,0.0,0.0
CG15715,0.3125,2.20672050538
CG15812,0.0625,0.516949884041
CG1602,0.0625,0.525558233232
CG1603,0.0,0.0
CG1620,0.0,0.0793413487212
CG1647,0.0625,0.713073517937
CG1663,0.125,0.910917700838
CG1677,0.25,2.23045921928
CG16779,0.0,0.148233654436
CG16863,0.0,0.0
CG16903,0.0,0.0
CG17118,0.0,0.0414922237541
CG17186,0.0625,0.550522536701
CG17328,0.0625,0.525935364286
CG17359,0.0,0.0
CG17361,0.0,0.0
CG17385,0.4375,3.87552809974
CG17568,0.0625,0.500144244548
CG17612,0.0,0.0
CG17801,0.0,0.0
CG17802,0.0,0.0
CG17803,0.0,0.0
CG17806,0.1875,1.43271534192
CG17829,0.0625,0.530234431751
CG1792,0.125,0.946783266092
CG18011,0.0625,0.696041562723
CG18012,0.25,2.02825161996
CG18262,0.0625,0.55018873282
CG18265,0.0,0.0
CG18446,0.0625,0.441365928917
CG18476,0.0,0.0
CG18599,0.0,0.0
CG18764,0.0625,0.693875019905
CG1965,0.25,1.93116722353
CG2116,0.25,2.11278600819
CG2120,0.0,0.0
CG2129,0.0,0.0
CG2199,0.1875,1.72474837564
CG2202,0.0625,0.591738559066
CG2678,0.0,0.0
CG2712,0.0,0.0
CG2790,0.0625,0.558840826404
CG2889,0.125,0.809215635801
CG2990,0.0,0.0
CG30020,0.125,0.975444206434
CG3032,0.0625,0.543298831362
CG30431,0.0,0.0
CG3065,0.125,1.15439486164
CG31111,0.0625,0.611257216281
CG31224,0.3125,2.30304653673
CG31365,0.0625,0.617768155929
CG31381,0.0,0.0
CG31388,0.0625,0.559141043593
CG31441,0.0,0.0
CG31460,0.375,2.29606809126
CG31510,0.125,0.586032566667
CG31612,0.0,0.0
CG31642,0.0,0.0
CG31759,0.0,0.0
CG31875,0.0,0.0
CG31922,0.0625,0.444823858194
CG32006,1.0,9.06203432214
CG32121,0.0,0.0
CG32532,0.0,0.0
CG32533,0.1875,1.51296721896
CG32719,0.0,0.0
CG32767,0.3125,1.92062098688
CG32772,0.375,2.97279676031
CG3281,0.0,0.0
CG33213,0.0625,0.581872946841
CG33557,0.0,0.0
CG33695,0.25,2.13617255476
CG3407,0.0,0.0782075929825
CG34367,0.0625,0.356693814724
CG3491,0.0,0.0
CG3526,0.0,0.0
CG3711,0.0,0.0
CG3726,0.0,0.0
CG3815,0.125,1.23250922609
CG3838,0.125,1.1654504148
CG3847,0.25,1.88768164495
CG3909,0.0,0.0
CG3919,0.1875,0.837134232882
CG3995,0.25,2.18926895974
CG4049,0.0625,0.677068422925
CG4078,0.0,0.0
CG42724,0.5,4.58120730836
CG42741,0.0,0.0
CG42748,0.375,3.15122454755
CG42795,0.4375,3.20251093226
CG4282,0.125,0.918543371149
CG4318,0.0,0.0
CG4328,0.0,0.0
CG43342,0.0,0.0
CG43343,0.0,0.0
CG43347,0.0625,0.444801556487
CG4360,0.4375,3.62799228288
CG43675,0.0,0.0
CG43689,0.0,0.0963968828919
CG4374,0.0,0.0
CG44002,0.0625,0.345576457912
CG4404,0.3125,2.46296902329
CG4424,0.0,0.0
CG44247,0.4375,3.92901927533
CG4496,0.0,0.0
CG45050,0.8125,5.65092671289
CG45071,0.3125,2.87569731058
CG4557,0.1875,1.78300707089
CG4570,0.0,0.0
CG4707,0.0,0.0
CG4730,0.0,0.0
CG4820,0.1875,1.72856677207
CG4854,0.0,0.0
CG4882,0.3125,2.3830084281
CG4914,0.0,0.0
CG4936,0.125,1.15355227262
CG5204,0.0,0.0605099559485
CG5245,0.0,0.0
CG5380,0.0,0.0
CG5641,0.5625,4.9296447841
CG5789,0.0,0.0
CG6106,0.0,0.0
CG6254,0.0,0.0
CG6276,0.0625,0.398658203119
CG6470,0.0,0.0
CG6654,0.1875,1.53572731846
CG6686,0.3125,2.77581530598
CG6689,0.0,0.0
CG6701,0.0,0.0
CG6765,0.6875,5.65170087297
CG6769,0.125,0.934703888631
CG6791,0.1875,1.33008540139
CG6808,0.0625,0.403672488061
CG6813,0.0625,0.489874289256
CG7099,0.0,0.0
CG7101,0.0625,0.511647020115
CG7154,0.0,0.0
CG7246,0.0,0.0
CG7271,0.0,0.0
CG7368,0.125,1.19493598135
CG7372,0.0,0.0
