name	input	uniquely_mapped	multiple_loci	too_many_loci	percent_unmapped_too_many_mismatches	percent_unmapped_too_short
IL7024-708-501	6938963	5382566	1141480	33479	1.65%	3.67%
IL7024-708-502	6508120	4640329	1294902	75250	1.67%	5.67%
IL7024-708-503	5979427	4632445	994021	36132	1.61%	3.53%
IL7024-708-504	4894278	3746314	841519	24669	1.78%	3.88%
IL7024-708-505	5947537	4485964	1116379	30781	1.65%	3.51%
IL7024-708-506	6298199	4628277	1243155	47308	1.62%	4.18%
IL7024-708-507	5777772	4356521	1077271	21466	1.60%	3.91%
IL7024-708-508	5683231	4166842	969338	88943	1.68%	6.12%
IL7024-709-501	6584901	4953619	1226294	34848	1.46%	4.01%
IL7024-709-502	4593729	3247807	930282	36068	1.59%	6.53%
IL7024-709-503	5693823	4340049	1074689	20638	1.44%	3.01%
IL7024-709-504	5022961	3856709	894817	15924	1.63%	3.38%
IL7024-709-505	5460463	4209413	998578	8405	1.44%	2.99%
IL7024-709-506	5074356	3644693	1049457	33756	1.60%	5.08%
IL7024-709-507	4276057	2886177	886567	43099	1.75%	8.80%
IL7024-709-508	4105086	3164265	691577	9326	1.56%	4.24%
IL7024-710-501	4413735	3260573	859305	21174	1.59%	4.51%
IL7024-710-502	4419836	3448384	732442	14981	1.55%	3.43%
IL7024-710-503	4044132	2730561	1003983	25124	1.58%	5.29%
IL7024-710-504	4901065	3843636	835130	18760	1.75%	2.31%
IL7024-710-505	4158493	3129705	731329	16284	1.73%	4.91%
IL7024-710-506	4522988	3245154	887807	40143	1.68%	5.81%
IL7024-710-507	4798721	3487511	974998	28987	1.59%	4.63%
IL7024-710-508	4463670	3294417	846594	21584	1.63%	4.97%
IL7024-711-501	4356283	3102863	942682	22106	1.67%	4.86%
IL7024-711-502	5092316	3850134	942987	23406	1.64%	3.66%
IL7024-711-503	4925805	3898117	776835	12532	1.59%	3.20%
IL7024-711-504	5283781	4095716	815399	60230	1.88%	3.98%
IL7024-711-505	4791152	3778218	714677	14926	1.74%	4.07%
IL7024-711-506	4898938	3743843	782387	20695	1.68%	5.35%
IL7024-711-507	5091782	3663350	939537	42592	1.76%	6.77%
IL7024-711-508	4219536	3078092	819367	27931	1.69%	5.12%
IL7024-712-501	4164693	3067754	829953	35297	1.55%	3.87%
IL7024-712-502	6995493	5093441	918274	34549	1.47%	11.93%
IL7024-712-503	5839569	4433902	1100733	35503	1.43%	3.01%
IL7024-712-504	3996729	3064402	662882	21833	1.66%	4.39%
IL7051-701-502	4080	3340	324	33	1.25%	6.64%
IL7051-701-503	1261896	1121604	113918	2540	0.70%	1.14%
IL7051-701-505	975813	833441	113634	4278	0.78%	1.65%
IL7051-701-506	1062370	884272	139751	2734	0.76%	2.52%
IL7051-701-507	7834	6589	846	10	0.74%	4.17%
IL7051-701-508	677478	579999	77362	1933	0.70%	1.95%
IL7051-701-510	780695	631502	134405	628	0.75%	1.04%
IL7051-701-511	1828266	1518025	276682	2240	0.71%	0.96%
IL7051-701-513	1130392	975737	124869	4183	0.76%	1.45%
IL7051-701-515	40732	36945	2770	100	0.61%	1.58%
IL7051-701-516	87785	74195	8926	248	0.72%	4.17%
IL7051-701-517	1171813	1030103	117950	3625	0.64%	0.97%
IL7051-701-518	576128	481302	80511	1133	0.75%	1.49%
IL7051-701-520	723743	606947	91152	2425	0.78%	2.34%
IL7051-701-521	641473	542563	85737	1121	0.77%	1.09%
IL7051-701-522	839139	695923	125212	1119	0.76%	1.24%
IL7051-702-502	932739	821655	91270	2099	0.72%	1.07%
IL7051-702-503	1112346	984666	105262	1453	0.67%	1.12%
IL7051-702-505	682016	568065	96743	2020	0.76%	1.43%
IL7051-702-506	970056	800229	148206	2351	0.74%	1.19%
IL7051-702-507	109273	94599	11916	371	0.64%	1.45%
IL7051-702-508	612389	483556	113929	935	0.74%	1.51%
IL7051-702-510	1100205	891364	179840	3223	0.75%	1.55%
IL7051-702-511	872500	718397	126567	3933	0.80%	1.86%
IL7051-702-513	924990	804653	95754	3805	0.73%	1.44%
IL7051-702-515	712193	619544	71599	2103	0.74%	1.83%
IL7051-702-516	1597911	1402520	155229	6403	0.64%	1.39%
IL7051-702-517	715058	600738	99006	1051	0.75%	1.19%
IL7051-702-518	620367	492308	102604	4520	0.80%	2.50%
IL7051-702-520	381321	321090	49055	1304	0.83%	1.71%
IL7051-702-521	1000903	864362	112821	2958	0.73%	1.25%
IL7051-702-522	1038855	872901	132846	3834	0.72%	1.99%
IL7051-703-502	1433826	1340017	70745	2899	0.56%	0.84%
IL7051-703-503	1266877	1027192	167945	3563	0.89%	4.30%
IL7051-703-505	476604	399451	62858	1418	0.83%	1.83%
IL7051-703-506	1216318	1028185	145100	5799	0.70%	2.15%
IL7051-703-507	233965	197148	30125	562	0.64%	1.93%
IL7051-703-508	694470	579747	85132	3068	0.76%	2.93%
IL7051-703-510	1094025	896856	175324	1048	0.74%	1.14%
IL7051-703-511	954068	709453	223575	1109	0.77%	1.31%
IL7051-703-513	1630355	1427040	166842	5514	0.72%	1.10%
IL7051-703-515	1673575	1445409	186382	3570	0.68%	1.51%
IL7051-703-516	1460113	1232771	180625	7968	0.75%	1.85%
IL7051-703-517	1180445	973580	181254	1175	0.72%	1.34%
IL7051-703-518	994429	838129	130909	2879	0.76%	1.46%
IL7051-703-520	778751	638415	120478	1430	0.82%	1.49%
IL7051-703-521	1143518	988363	128694	3445	0.75%	1.22%
IL7051-703-522	909241	766789	98317	3735	0.78%	3.61%
IL7051-704-502	277848	261817	10281	348	0.57%	1.30%
IL7051-704-503	872039	743114	104706	2307	0.73%	1.71%
IL7051-704-505	955540	815425	114836	2833	0.82%	1.47%
IL7051-704-506	1212887	952976	205883	9225	0.78%	2.87%
IL7051-704-507	2627	2205	280	11	0.99%	3.96%
IL7051-704-508	725318	602246	105483	2291	0.73%	1.35%
IL7051-704-510	917751	765375	125638	2811	0.75%	1.79%
IL7051-704-511	1104676	893778	172929	9956	0.76%	1.75%
IL7051-704-513	1012270	835216	108636	130	0.91%	5.83%
IL7051-704-515	1871329	1633321	196303	2537	0.65%	1.41%
IL7051-704-516	1418054	1226494	171492	1450	0.65%	0.64%
IL7051-704-517	1096126	891599	170347	3954	0.77%	1.92%
IL7051-704-518	874575	668819	167022	6486	0.75%	2.87%
IL7051-704-520	530114	427147	90287	512	0.80%	1.46%
IL7051-704-521	1092832	947556	120060	3522	0.74%	1.19%
IL7051-704-522	1155022	1022519	54188	73	0.71%	6.06%
IL7051-705-502	1176109	1117083	39422	1468	0.57%	0.95%
IL7051-705-503	950754	812923	110921	4372	0.72%	1.60%
IL7051-705-505	1124135	949842	133417	7185	0.78%	2.13%
IL7051-705-506	832989	676701	135931	1210	0.74%	1.52%
IL7051-705-507	827257	689682	104100	4390	0.83%	2.59%
IL7051-705-508	585038	480707	88910	1897	0.75%	1.52%
IL7051-705-510	1237595	1010992	198946	2291	0.70%	1.33%
IL7051-705-511	1014206	831555	155673	3937	0.76%	1.45%
IL7051-705-513	1448559	1277569	135909	4173	0.68%	1.37%
IL7051-705-515	1462	65	31	1	3.01%	90.36%
IL7051-705-516	973265	832458	115060	2102	0.74%	1.60%
IL7051-705-517	890652	740084	120503	6019	0.77%	1.84%
IL7051-705-518	1112333	960454	128509	3047	0.71%	1.05%
IL7051-705-520	582243	509442	60461	1019	0.76%	1.15%
IL7051-705-521	1150284	979868	143222	3358	0.69%	1.33%
IL7051-705-522	1392060	1205530	135598	2376	0.65%	2.78%
IL7051-706-502	1421861	1212917	184142	2399	0.70%	0.83%
IL7051-706-503	56504	52772	2690	123	0.58%	0.99%
IL7051-706-505	969904	815296	131474	1306	0.72%	1.47%
IL7051-706-506	1082299	865937	163383	5493	0.83%	3.40%
IL7051-706-507	967663	796300	134553	4918	0.80%	2.41%
IL7051-706-508	623648	537039	69828	2002	0.76%	1.51%
IL7051-706-510	917730	773724	124470	1520	0.73%	1.20%
IL7051-706-511	765083	632226	115157	2441	0.75%	1.20%
IL7051-706-513	24961	22238	1991	74	0.69%	1.79%
IL7051-706-515	683981	585909	82141	1111	0.74%	1.36%
IL7051-706-516	910723	801924	91967	1611	0.71%	0.89%
IL7051-706-517	1325377	1104483	186085	2163	0.77%	1.66%
IL7051-706-518	877555	756291	105776	1082	0.73%	0.88%
IL7051-706-520	705424	602912	78550	2546	0.80%	2.19%
IL7051-706-521	855293	733843	102706	1847	0.80%	1.11%
