symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
CR40469,7.39627871714,0.30060618708,7.72351401512,0.0,0.0,0.0
Tsp42Ef,10.6922534108,0.0824191818849,11.8963621445,0.0,0.0,0.0
pros,0.558441972462,11.2137247049,0.0,11.4597277878,0.0,0.0
nAChRbeta1,0.0634417953228,8.58218468995,0.0,9.0814995281,0.0,0.0
CG13578,11.6632107983,0.183427485008,12.2412559249,0.0,0.0,0.0
Oaz,0.00840018717504,9.17512282834,0.0,9.6515753435,0.0,0.0
Hsp67Ba,1.59987423951,9.16674329757,0.0,9.29031960323,5.08295222697e-309,8.08494381221e-305
zfh2,9.95576509844,0.390154324694,10.7581176648,0.0,2.40144387322e-308,3.81973662474e-304
Act5C,8.63653635181,14.2258987267,10.4672722146,14.3090638216,3.2121450743e-306,5.10923795518e-302
SP1173,9.1125393703,0.136674445489,10.2751194122,0.0,2.71830949396e-305,4.32374308109e-301
CG7236,9.21143297519,0.121655822015,10.2970801917,0.0,1.99228249112e-304,3.16892453037e-300
CG34309,5.9722997981,0.0,6.79138066261,0.0,7.85923404572e-296,1.25008976731e-291
CG32006,7.85571349292,0.259983321335,8.82125762568,0.0,2.89300117735e-293,4.60160767269e-289
nAChRalpha7,1.66716953094,10.3058465548,0.0,10.5312560601,1.18878921446e-288,1.89088812452e-284
tnc,0.0219839657787,7.25909107938,0.0,8.56395723528,1.76879738024e-287,2.81344911301e-283
tsr,4.72527068189,11.0048005576,6.85145326687,11.1574942354,6.66972798064e-287,1.0608869326e-282
CR43481,0.70732182016,5.40228604479,0.0,5.61288992446,1.10926213173e-283,1.76439234672e-279
peb,6.41432082731,0.0129182074325,7.45838572827,0.0,1.45356456054e-281,2.31203978999e-277
Hr4,10.1814080005,5.08544888139,10.3518477174,5.75048655439,3.09277517941e-281,4.91936820037e-277
nAChRbeta2,0.115933137596,7.46379264934,0.0,8.67083587936,1.73113299903e-279,2.75354014826e-275
CG15704,0.334921593767,6.56737959758,0.0,7.16061695457,1.93031476792e-278,3.07035866985e-274
HnRNP-K,11.4947553422,6.70939768922,11.7637044564,8.07968605855,9.97505134546e-277,1.58663166701e-272
CG42336,0.101616833133,5.53473007459,0.0,6.49127902448,5.40595987754e-272,8.59871978122e-268
Act42A,9.08562768901,12.5691085556,10.5178406443,12.641633183,1.69642705044e-265,2.69833686643e-261
Hsp23,4.6803889611,11.3324546263,5.61665159712,11.363695727,1.26974636011e-263,2.01965856039e-259
Dll,7.70032817175,0.00250881448615,9.52708090183,0.0,4.32803179585e-263,6.88416737448e-259
cpo,12.8133282273,10.5788107443,12.9328010456,10.9514461252,3.5920363223e-262,5.71349297426e-258
CG15765,0.947908815881,8.7950383846,0.0,9.80017166366,2.63915251586e-254,4.19783599172e-250
CG14312,0.911411244377,6.91997709472,0.0,7.40456662192,1.19047745533e-252,1.89357344044e-248
dnd,6.69289302573,0.0106040388165,8.45546181513,0.0,3.35252489249e-252,5.33252609399e-248
Fer1,8.05057243631,0.00681129324146,10.2508737779,0.0,4.3063752026e-252,6.84972039725e-248
CG31676,10.7033641111,2.23787304313,11.8412464865,0.0,8.61787683412e-252,1.37075948923e-247
chic,7.05308371092,11.0493395936,8.81372299897,11.1709588787,1.73794168039e-250,2.76437003683e-246
sn,2.76104328306,10.1739872907,0.0,10.5319647989,2.80652936656e-250,4.46406561045e-246
Hsp27,5.74209551966,11.0451585103,8.09239061658,11.232189768,1.46772590871e-249,2.3345648304e-245
FK506-bp2,5.30885662029,10.1590434143,7.32334221051,10.276821031,1.9410609229e-249,3.08745150397e-245
fax,6.8273956806,10.9094510936,8.35011744411,10.9910597908,4.82685229548e-249,7.67759126118e-245
Task6,0.11474040589,5.73948483133,0.0,6.77292610689,5.65619300075e-248,8.99674058699e-244
Alk,0.00344820207263,4.74872740952,0.0,5.46631796104,4.74677694331e-246,7.55022340602e-242
CG9313,6.97082007424,0.135756342293,8.93781189426,0.0,1.64368107026e-240,2.61443911036e-236
CG3822,0.0342627703051,5.77246770004,0.0,7.19937358013,2.39985591192e-239,3.8172108135e-235
A2bp1,1.16137659753,7.02605318754,0.0,7.58479287636,4.17028656465e-233,6.63325780973e-229
Atpalpha,13.8742655012,12.331466337,13.8402916463,12.3360411267,1.5930484963e-232,2.53390293821e-228
