name	label
N447Barcode_701-503	6
N447Barcode_701-505	-1
N447Barcode_701-506	27
N447Barcode_701-513	7
N447Barcode_701-515	21
N447Barcode_701-516	1
N447Barcode_701-517	17
N447Barcode_701-518	17
N447Barcode_702-502	5
N447Barcode_702-503	1
N447Barcode_702-505	8
N447Barcode_702-506	2
N447Barcode_702-507	22
N447Barcode_702-513	14
N447Barcode_702-515	19
N447Barcode_702-516	-1
N447Barcode_702-517	-1
N447Barcode_702-518	19
N447Barcode_703-502	3
N447Barcode_703-503	1
N447Barcode_703-505	6
N447Barcode_703-506	8
N447Barcode_703-507	5
N447Barcode_703-513	-1
N447Barcode_703-515	14
N447Barcode_703-516	7
N447Barcode_703-517	13
N447Barcode_703-518	7
N447Barcode_704-503	20
N447Barcode_704-505	18
N447Barcode_704-507	13
N447Barcode_704-513	-1
N447Barcode_704-515	0
N447Barcode_704-516	2
N447Barcode_704-517	3
N447Barcode_704-518	13
N447Barcode_705-502	22
N447Barcode_705-503	1
N447Barcode_705-505	19
N447Barcode_705-506	9
N447Barcode_705-507	10
N447Barcode_705-513	21
N447Barcode_705-515	0
N447Barcode_705-516	17
N447Barcode_705-518	6
N447Barcode_706-502	28
N447Barcode_706-505	21
N447Barcode_706-507	12
N447Barcode_706-515	30
N447Barcode_706-517	1
N447Barcode_706-518	23
N447Barcode_707-502	22
N447Barcode_707-503	25
N447Barcode_707-505	5
N447Barcode_707-506	3
N447Barcode_707-513	4
N447Barcode_707-515	-1
N447Barcode_707-516	2
N447Barcode_707-517	6
N447Barcode_707-518	20
N447Barcode_710-502	6
N447Barcode_710-503	13
N447Barcode_710-505	9
N447Barcode_710-506	13
N447Barcode_710-507	15
N447Barcode_710-515	2
N447Barcode_710-517	9
N447Barcode_711-502	9
N447Barcode_711-503	25
N447Barcode_711-505	14
N447Barcode_711-506	27
N447Barcode_711-507	8
N447Barcode_711-513	4
N447Barcode_711-515	8
N447Barcode_711-516	20
N447Barcode_711-517	2
