library,pooled_library,SampleID,Index,num,experiment,plate,well,num_cells,num_mapped_reads,color,genotype,label,color1
mean_1,IL7017,,,1,1,,,,42163,#3399FF,nsyb_ORN,nsyb_ORN,r
mean_2,IL7017,,,2,1,,,,521420,#CC99CC,nsyb_ORN,nsyb_ORN,r
mean_3,IL7017,,,3,1,,,,42616,#CC99CC,nsyb_ORN,nsyb_ORN,r
mean_4,IL7017,,,4,1,,,,479766,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_5,IL7017,,,5,1,,,,1012431,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_6,IL7017,,,6,1,,,,350520,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_7,IL7017,,,7,1,,,,922549,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_8,IL7017,,,8,1,,,,900996,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_9,IL7017,,,9,1,,,,630854,#CCCCFF,nsyb_ORN,nsyb_ORN,b
mean_10,IL7017,,,10,1,,,,1005255,#009900,nsyb_ORN,nsyb_ORN,b
mean_11,IL7017,,,11,1,,,,739929,#009900,nsyb_ORN,nsyb_ORN,b
mean_12,IL7017,,,12,1,,,,638200,#CC99CC,nsyb_ORN,nsyb_ORN,b
mean_13,IL7017,,,13,1,,,,861630,#3399FF,nsyb_ORN,nsyb_ORN,b
mean_14,IL7017,,,14,1,,,,749907,#FF9900,nsyb_ORN,nsyb_ORN,b
mean_15,IL7017,,,15,1,,,,1032050,#3399FF,nsyb_ORN,nsyb_ORN,b
mean_16,IL7017,,,16,1,,,,865435,#009900,nsyb_ORN,nsyb_ORN,b
mean_17,IL7024,,,17,2,,,,5363726,#CC99CC,nsyb_ORN,nsyb_ORN,b
mean_18,IL7024,,,18,2,,,,4595211,#3399FF,nsyb_ORN,nsyb_ORN,b
mean_19,IL7024,,,19,2,,,,4605801,#000000,nsyb_ORN,nsyb_ORN,b
mean_20,IL7024,,,20,2,,,,3721707,#000000,nsyb_ORN,nsyb_ORN,b
mean_21,IL7024,,,21,2,,,,4466531,#000000,nsyb_ORN,nsyb_ORN,b
mean_22,IL7024,,,22,2,,,,4588906,#000000,nsyb_ORN,nsyb_ORN,b
mean_23,IL7024,,,23,2,,,,4328177,#000000,nsyb_ORN,nsyb_ORN,b
cluster_1,,,,,,,,,,#3399FF,nsyb_ORN,nsyb_ORN,
cluster_2,,,,,,,,,,#CC99CC,nsyb_ORN,nsyb_ORN,
cluster_3,,,,,,,,,,#CC99CC,nsyb_ORN,nsyb_ORN,
cluster_4,,,,,,,,,,#FF9900,nsyb_ORN,nsyb_ORN,
cluster_5,,,,,,,,,,#FF9900,nsyb_ORN,nsyb_ORN,
cluster_6,,,,,,,,,,#FF9900,nsyb_ORN,nsyb_ORN,
cluster_7,,,,,,,,,,#FF9900,,,
cluster_8,,,,,,,,,,#FF9900,,,
cluster_9,,,,,,,,,,#CCCCFF,,,
cluster_10,,,,,,,,,,#009900,,,
cluster_11,,,,,,,,,,#009900,,,
cluster_12,,,,,,,,,,#CC99CC,,,
cluster_13,,,,,,,,,,#3399FF,,,
cluster_14,,,,,,,,,,#FF9900,,,
cluster_15,,,,,,,,,,#3399FF,,,
cluster_16,,,,,,,,,,#009900,,,
cluster_17,,,,,,,,,,#CC99CC,,,
cluster_18,,,,,,,,,,#3399FF,,,
cluster_19,,,,,,,,,,#000000,,,
cluster_20,,,,,,,,,,#000000,,,
cluster_21,,,,,,,,,,#000000,,,
cluster_22,,,,,,,,,,#000000,,,
cluster_23,,,,,,,,,,#000000,,,
mean_LB,,,,,,,,,,#3399FF,,,
mean_AC,,,,,,,,,,#009900,,,
mean_TSB,,,,,,,,,,#CC99CC,,,
mean_AT,,,,,,,,,,#FF9900,,,
