symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
emc,8.64014327696,1.09034511444,10.1344226555,0.0,5.26222744103e-45,8.37115141319e-41
Ir75d,3.52833399803,0.0473738678908,0.0,0.0,1.51877246236e-37,2.41606323312e-33
Tsp42Ef,7.17961532652,11.6432149517,9.50577590068,12.096867851,5.84545673612e-31,9.29895257582e-27
CG14077,1.82244204177,0.0295716203654,0.0,0.0,3.32829504707e-30,5.29465176088e-26
CG14274,3.25161737015,0.0382045199569,0.0,0.0,3.22405072792e-29,5.12881989797e-25
unc-4,2.59553140443,0.0304800693073,0.0,0.0,3.74286654966e-26,5.95415210721e-22
Fas3,7.65083092474,2.06211713286,9.8033513805,0.0,2.29077432792e-24,3.64416380085e-20
Eaat2,10.4388899988,5.44338278467,11.4632715749,7.91679798532,3.98151042828e-24,6.33378678931e-20
betaTub56D,12.2484010559,13.9788431571,12.7513626395,14.1584676743,1.2567303382e-21,1.999206622e-17
CG33177,0.785344637061,6.6918514547,0.0,8.53207502846,1.68996412445e-21,2.68839492918e-17
Sulf1,8.46055892139,3.41977816244,9.8676863487,0.0,1.72306750985e-20,2.74105579467e-16
CR44960,0.692263712579,6.1109428494,0.0,7.97490709603,3.21744296817e-20,5.11830827377e-16
CG33178,0.37281970563,3.80003098949,0.0,4.71862499536,2.42337477072e-19,3.85510458527e-15
eyg,0.0727726528308,5.36247737274,0.0,7.60326119574,2.54446449396e-17,4.04773411699e-13
CG43658,0.84004266268,5.04493693121,0.0,5.90014885278,2.75843479874e-17,4.38811807783e-13
Sp1,0.0743609633376,4.69498189289,0.0,5.80788701566,1.10438835475e-15,1.75686099474e-11
toe,0.0613128079616,4.24426884877,0.0,2.72239040087,2.35614748831e-15,3.7481594244e-11
Ir25a,9.79231894447,5.46738571621,11.1965583434,7.07922552439,3.63196168983e-14,5.77772465618e-10
Nep1,2.5382851153,8.12781932887,0.0,10.3482607492,8.46140788902e-14,1.34604076698e-09
GstS1,3.75531048422,8.09695318551,0.0,10.0143391159,4.83858800545e-13,7.69722579907e-09
Rbp6,12.1109003519,10.8601480104,12.2568750236,11.3521186859,5.71946656903e-13,9.09852741801e-09
CG14431,2.92567742917,0.583256436594,0.0,0.0,6.27751279845e-13,9.98626735977e-09
ADPS,2.45505861142,6.89231564744,0.0,8.97809303251,2.75749942625e-12,4.38663008728e-08
Drl-2,1.75426146668,5.67793650031,0.0,7.47604195536,5.00375847717e-12,7.95997898549e-08
nemy,7.72714904412,11.0656991293,10.1951396338,11.9758419594,1.13499880398e-11,1.80555609737e-07
svp,1.27739466208,0.0343026850173,0.0,0.0,1.43493458241e-11,2.28269393371e-07
dpr1,2.70930844094,6.5661884356,0.0,7.88636072403,1.7493969603e-11,2.78294068444e-07
CG32204,2.96826575743,0.617896716153,0.0,0.0,3.54422400488e-11,5.63815154696e-07
GstE3,0.0,3.23887918801,0.0,0.0,3.57808743866e-11,5.69202149743e-07
CR44596,0.594702830855,0.0,0.0,0.0,3.96751975275e-11,6.31153042268e-07
Lim1,0.86180933339,0.00743439560256,0.0,0.0,4.80759376226e-11,7.647920157e-07
GstE4,0.0995901652277,4.2019081422,0.0,0.0,6.8213785382e-11,1.08514489786e-06
CG43373,2.27567474138,0.363538733199,0.0,0.0,7.70211747895e-11,1.22525284855e-06
Fer1,3.92586774922,8.91200275332,0.0,10.4387857228,7.81821131158e-11,1.24372105545e-06
Pex3,1.44963439513,5.01849295565,0.0,6.6581117931,7.84325179359e-11,1.24770449532e-06
CG14082,1.1572205906,0.108108195301,0.0,0.0,3.00331757839e-10,4.7776776037e-06
CG42806,2.61006056871,5.79873157548,0.0,7.55237857532,4.70180955616e-10,7.47963864194e-06
hth,6.47062676242,2.7872711473,9.82550090393,0.0,4.88280347008e-10,7.7675637602e-06
PHGPx,8.50494498578,6.04561097413,9.78912671837,8.07113576891,5.3133450098e-10,8.45246924159e-06
CG15130,3.56329273051,1.22255804469,0.0,0.0,5.57259604984e-10,8.86488579608e-06
olf413,5.53923857247,2.49125723562,7.88834719144,0.0,5.94461578129e-10,9.45669478488e-06
Moe,2.10976877986,5.64955385493,0.0,7.57089375826,6.43187098049e-10,1.02318203558e-05
CG30095,0.0644641504459,2.94708463003,0.0,0.0,6.53874817815e-10,1.04018406018e-05
CG43902,0.777345321671,3.78546054963,0.0,1.51384616987,8.10040758346e-10,1.28861283838e-05
CR44595,0.471635684439,0.0,0.0,0.0,9.08677254082e-10,1.44552377579e-05
CR44111,0.424937582383,0.00938813121428,0.0,0.0,1.05931687229e-09,1.68516128043e-05
Frq1,5.75016167523,8.4898013624,6.44478485645,9.75643188599,1.59282759456e-09,2.53387013743e-05
CG17124,6.21650554399,9.0211088858,7.93290042878,10.0798942117,1.80748944082e-09,2.87535420245e-05
fabp,2.47238836651,5.95574752935,0.0,7.98111851318,1.84232295966e-09,2.93076736423e-05
Orct2,0.460152894476,3.71039698264,0.0,0.0,4.62748948707e-09,7.36141027602e-05
