symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
CG43689,7.58932996451,0.0983030555278,9.62280456529,0.0,1.28745495208e-77,2.04808333776e-73
mamo,6.52993590647,1.42558190831,8.05038340154,0.0,6.54801574811e-43,1.04165834521e-38
fabp,9.41184588488,4.06861203801,9.74926566074,3.26842793706,4.87636018467e-42,7.75731378177e-38
CG31676,12.4841941764,8.64945117387,12.5856185365,10.8295801371,5.70518408617e-42,9.07580684428e-38
CG30095,6.14064012361,1.26841878807,8.02525305838,0.0,2.68422718193e-35,4.27006860102e-31
CG14079,7.22059512033,1.9460655556,8.61651084605,0.0,6.68152853249e-35,1.06289755895e-30
CG40486,3.83208993104,0.0827131044099,0.0,0.0,1.24320521917e-34,1.97769086265e-30
unpg,3.85641748884,0.0169926230988,0.0,0.0,1.84144223258e-34,2.92936630359e-30
eyg,0.221002543835,6.14132417327,0.0,8.91333437339,1.58706277794e-32,2.52469946715e-28
toe,0.286035736624,4.82244814198,0.0,4.40615206276,2.21606767753e-27,3.52532046141e-23
CG7786,4.01056322896,0.627339969838,0.0,0.0,8.66213364395e-26,1.37797222008e-21
klg,4.44625375065,9.07341095078,2.77460041645,10.265466851,8.67302310856e-26,1.37970451611e-21
sNPF,6.59436186407,2.21900113113,8.34774421922,0.0,3.19163563528e-25,5.0772539686e-21
Cbp53E,3.07333798748,0.305423873041,0.0,0.0,8.39327496499e-25,1.33520218143e-20
dac,3.18180787491,0.502465705509,0.0,0.0,1.53614587676e-24,2.44370086075e-20
Gr21a,3.07454393751,0.00817918361416,0.0,0.0,3.4429831111e-24,5.47709753315e-20
ATPsynC,12.9765456024,12.1550814966,13.0179484502,12.3363712639,4.1222469018e-24,6.55767037138e-20
Wnt4,0.106282884972,3.88148831657,0.0,1.48683329421,1.81732847704e-23,2.89100614127e-19
CR42491,6.43380910496,2.77986505931,7.72372695151,0.0,2.85267057495e-22,4.53802835062e-18
beat-IIa,1.94074721786,0.0,0.0,0.0,9.24129892477e-22,1.47010583295e-17
Dll,5.0585629437,8.78783261919,7.01206155059,9.8704064031,2.85806809032e-21,4.54661471808e-17
nemy,9.1997269092,11.0735199963,10.7886404363,12.1833032917,1.68311898124e-20,2.67750567535e-16
DIP-epsilon,2.22200843425,0.0665682085811,0.0,0.0,2.89534304721e-20,4.60591171949e-16
dati,4.58081357802,1.21359512922,4.54711163333,0.0,3.34458774732e-20,5.32057018844e-16
CG30089,2.6808901145,0.443149535901,0.0,0.0,4.24205605341e-20,6.74826276977e-16
Ir25a,9.794332416,4.78737053589,10.780759095,1.18176412285,3.197594946e-19,5.08673404009e-15
PyK,4.85457884306,1.55334966197,5.91496513752,0.0,8.49341354899e-19,1.35113222737e-14
Pvf3,2.07904249165,0.292213063143,0.0,0.0,1.3367392812e-18,2.12648484853e-14
CG4546,2.99691644525,7.19169624422,0.0,9.55514421671,4.6170117378e-18,7.3447422725e-14
CG32150,2.08332895881,5.86062941189,0.0,8.02122071806,6.24848275463e-18,9.94008636607e-14
fkh,1.61857462771,0.0258932598262,0.0,0.0,1.48123709838e-17,2.3563519761e-13
CG7381,5.50726455213,2.08079986971,7.63600270721,0.0,2.07010606925e-17,3.29312473496e-13
Jheh3,3.92768818848,1.14067149811,1.3140550789,0.0,3.20653476909e-17,5.10095551067e-13
GstE4,6.70822312118,2.52803971949,9.17062960998,0.0,3.71250646686e-17,5.90585528748e-13
CG43729,9.65816668448,6.71602708457,9.8969842077,8.43629405853,9.78690561432e-17,1.55690094513e-12
mid,0.0761419677189,3.24252583325,0.0,0.0,1.36292491953e-16,2.16814096198e-12
hth,0.330849131498,4.36247760185,0.0,0.0,1.7971550916e-16,2.85891431971e-12
Dl,1.69307624031,0.188745853644,0.0,0.0,2.73482697905e-16,4.35056275827e-12
Or42b,2.68682433068,0.0848169677009,0.0,0.0,3.82433429008e-16,6.08375098867e-12
scyl,7.26969866162,9.29046952036,8.895339515,10.3124911284,4.21210828142e-16,6.70062185408e-12
Frq1,6.16831360209,8.77342969494,7.87478918295,9.94738953705,4.99674708978e-16,7.94882527042e-12
disco-r,0.0192860515887,2.29313050506,0.0,0.0,5.9832780528e-16,9.51819872639e-12
chrb,7.01678991874,9.07769821269,8.6234224239,10.1669502599,1.18305582963e-15,1.88200521378e-11
beat-IIb,2.05647120718,0.188262662668,0.0,0.0,2.23391021815e-15,3.55370437504e-11
Sytalpha,1.55008127703,0.11225797823,0.0,0.0,2.39163139926e-15,3.80460722994e-11
CG3520,2.31007483934,0.409547619009,0.0,0.0,2.49660242008e-15,3.97159512986e-11
blw,12.112602868,11.0745443352,12.5025453609,11.7504794425,2.823046149e-15,4.49090181383e-11
CG34362,2.18567785476,5.50928907287,0.0,6.86514183058,2.83501776644e-15,4.50994626286e-11
fred,3.64212957213,1.33462652284,4.03012588753,0.0,3.45022949245e-15,5.48862507659e-11
Toll-7,1.17039583647,4.33664350285,0.0,2.3706914209,5.59791915941e-15,8.90516979878e-11
SmydA-4,1.12287430082,0.0257189496874,0.0,0.0,5.64316394717e-15,8.97714520715e-11
sesB,10.1357882324,8.58719040198,10.6165222336,9.76361321496,5.68215307563e-15,9.03916911272e-11
Act5C,11.2034205896,8.70280497965,11.4237848798,10.2292514067,1.32513125286e-14,2.10801879705e-10
tsr,7.33427723806,4.33624715551,8.4152510298,5.3789860474,1.93265776882e-14,3.07447197863e-10
CG42284,3.16758288997,1.1287100395,2.48500880974,0.0,2.28380178737e-14,3.63307188335e-10
GstE3,5.05081398095,1.97585216663,7.04354113199,0.0,3.66483130906e-14,5.83001364645e-10
ND-39,8.88728741147,5.68964376498,9.74297923723,8.20480535137,3.76707082034e-14,5.992656261e-10
sano,7.75966076668,4.34614644923,9.14986552326,3.31795316013,4.8048260585e-14,7.64351729386e-10
Con,4.34577068078,7.44610071307,3.86699596122,9.6584966207,5.18145235548e-14,8.2426544071e-10
Fas3,0.694219982774,3.62458582058,0.0,0.0,5.93351872734e-14,9.43904159145e-10
Chd64,2.14887130413,0.44104139361,0.0,0.0,6.39837910805e-14,1.01785414851e-09
esn,2.12245603284,0.323191477326,0.0,0.0,9.94580293546e-14,1.58217833097e-09
CG31760,2.29373957171,0.408911819559,0.0,0.0,1.34433747716e-13,2.13857205866e-09
CG30274,3.17046230634,1.07294037694,0.0,0.0,2.31812254362e-13,3.68766934238e-09
slp1,0.0781081066791,3.00565254261,0.0,0.0,2.48102102752e-13,3.94680825058e-09
Eip93F,4.83874458608,6.86116195613,5.17067365695,8.06591550565,2.60567570261e-13,4.14510890771e-09
CG11577,1.98240305081,1.18318381521,1.08972290698,0.0,3.24448628605e-13,5.16132878385e-09
caps,4.83872781782,2.10346152067,5.76502710246,0.0,4.75938725585e-13,7.57123324661e-09
shakB,8.32608401956,6.25095624417,8.65482347141,7.44347005085,5.32871875344e-13,8.47692579298e-09
sea,3.08258058843,1.27699404077,3.95059564781,0.0,6.47362055158e-13,1.02982355735e-08
CG11267,6.64687133644,3.94961982929,7.72674783032,4.84841027883,7.23923044498e-13,1.15161677919e-08
kek1,0.853312052686,3.49662634097,0.0,0.0,7.52926566845e-13,1.19775558254e-08
rib,1.61718938599,0.204774340654,0.0,0.0,1.15374826338e-12,1.83538273738e-08
sens-2,0.730965411818,0.00480595511076,0.0,0.0,1.55175767965e-12,2.46853611678e-08
ATPsyngamma,10.0914010367,8.24122804577,10.5417138928,9.76738725516,1.67251983016e-12,2.66064454582e-08
CG32772,1.76515101624,4.84173858693,0.0,5.74482658042,2.47741702348e-12,3.94107500095e-08
CG15531,1.53492184473,0.156694893693,0.0,0.0,2.89383899873e-12,4.60351907917e-08
dysc,10.0602638065,8.07938484545,10.3468928994,9.42006437518,3.3043985172e-12,5.25663716115e-08
dally,1.75613573175,0.397316981886,0.0,0.0,3.50078368302e-12,5.56904668295e-08
HIP-R,8.1784046772,6.6336907728,8.41642942392,7.59305677699,4.44241934967e-12,7.06700070146e-08
Pde6,4.87723123265,6.70842920397,5.74270341443,7.64393405006,4.94502341831e-12,7.86654325385e-08
pdm3,5.67186482318,2.91526326326,7.3908524184,0.0,5.84982700644e-12,9.30590480185e-08
CG6439,7.94177086977,5.02918134584,9.34590327715,7.27502210627,5.90690312218e-12,9.39670148677e-08
slp2,0.119088113,2.77557043037,0.0,0.0,7.46197178339e-12,1.1870504713e-07
P32,5.35347366206,2.42057726112,7.86792153708,0.0,7.64436145944e-12,1.21606502097e-07
Adk1,1.05076366383,3.80318252054,0.0,0.0,7.66062997256e-12,1.21865301603e-07
Pex19,3.92729792727,1.57495511636,4.00312112979,0.0,7.86184201465e-12,1.25066182769e-07
CR45502,0.592836092855,0.00982736358458,0.0,0.0,7.99460414418e-12,1.27178162726e-07
heph,2.0786521735,4.83404896351,0.0,5.47341111078,8.85724446019e-12,1.40901044873e-07
dpr9,5.12896342698,2.65688081867,5.3978986196,0.0,1.19836140466e-11,1.90635332254e-07
GstO3,5.11346516346,2.47544992206,7.41986269048,0.0,1.22295835007e-11,1.94548214329e-07
GstE5,1.98676047877,0.490780574946,0.0,0.0,1.49522669784e-11,2.37860663092e-07
CG30271,6.7525232884,3.7497235621,8.65506595137,0.0,1.64786718788e-11,2.62142712247e-07
fru,0.140052463926,3.15956308377,0.0,0.0,1.80140904111e-11,2.8656815026e-07
CG9990,1.12606847904,3.89822270679,0.0,0.0,1.96132987074e-11,3.12008355838e-07
COX4,9.7493283358,8.38289689135,10.0050678158,9.34289060048,2.38225219305e-11,3.7896867887e-07
levy,8.7973026156,7.07335336612,9.07681803387,8.31014971186,3.22644700722e-11,5.13263189908e-07
porin,10.3378777698,8.76345307717,10.718475905,9.93642188225,3.36594177616e-11,5.35454017752e-07
Arc42,1.12900339635,0.116373903468,0.0,0.0,3.54570358267e-11,5.64050525932e-07
AnxB9,0.341925323054,3.01700432274,0.0,0.0,3.71870100261e-11,5.91570955495e-07
disco,0.017200726359,1.95080737185,0.0,0.0,3.99328547127e-11,6.3525185277e-07
IA-2,0.669344464011,3.03656096588,0.0,0.0,4.28393941533e-11,6.8148908219e-07
CG32547,2.18634578151,0.71250118574,0.0,0.0,4.76594700551e-11,7.58166849636e-07
CG42663,2.49749763745,0.795128643584,0.0,0.0,5.18033119586e-11,8.24087086638e-07
mbl,8.98255386192,9.95120010188,9.55542343988,10.1770606686,5.2552071912e-11,8.35998359977e-07
nAChRalpha5,0.565202841244,2.70111269525,0.0,0.0,6.45177318824e-11,1.02634807879e-06
CG15186,0.111923221422,2.12808208334,0.0,0.0,7.39250367065e-11,1.17599948393e-06
