symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
disco-r,3.73499331736,0.180090375283,3.54504833927,0.0,2.30350136283e-46,3.664409968e-42
eyg,7.94117194357,2.10373279842,9.56347912981,0.0,4.80879553321e-40,7.64983193423e-36
Con,9.51046329693,4.4912927288,10.4578844903,3.7174286905,1.94989388913e-38,3.10189119883e-34
bru-3,1.23754829656,6.09265727142,0.0,7.49348238814,3.01639270811e-38,4.79847752006e-34
toe,6.28662859054,1.66494596758,7.90012462047,0.0,1.6355733199e-34,2.60187003729e-30
Frq1,9.95661656053,6.70370137719,10.4817121461,8.39796751061,1.1956963525e-32,1.90211375755e-28
mamo,0.48111820474,4.45171721082,0.0,4.71243727326,3.20080314307e-32,5.09183764e-28
CG31676,7.48797842743,11.2614546969,9.75538898758,12.0426020374,1.04672634476e-31,1.66513226925e-27
disco,3.04709438332,0.251204931066,0.0,0.0,1.88630290291e-27,3.00073065795e-23
Dh44-R1,4.95323766535,0.973682846786,4.49763077732,0.0,1.20855214382e-25,1.92256475038e-21
Dh31-R,2.86412252083,0.179829481111,0.0,0.0,2.55050654643e-25,4.05734581407e-21
fru,4.72742912648,0.613417936324,0.0,0.0,3.20333305342e-25,5.09586222139e-21
Toll-6,5.51889664133,1.90082486092,5.32238275556,0.0,5.86329604599e-25,9.32733134995e-21
CG15186,3.20586249349,0.404845615072,0.0,0.0,1.28791890839e-24,2.04882139946e-20
mid,4.3981064305,0.938530070629,1.8379365914,0.0,2.40185493127e-24,3.82087082466e-20
fabp,3.54418729583,6.88858221938,0.0,8.91893525111,3.61879636164e-24,5.7567812521e-20
Toll-7,5.70518342023,1.87317059086,7.05946937755,0.0,7.685420875e-24,1.22259675279e-19
Nrt,9.00330625118,5.60232193089,9.64796571131,7.33554969457,9.62160725159e-23,1.53060528158e-18
CG43689,0.0633174327443,3.52721637227,0.0,0.0,2.96518885797e-22,4.71702243525e-18
Dscam3,3.8386408837,0.706915059801,0.0,0.0,3.72448089074e-22,5.92490420098e-18
Snmp1,3.56084526683,0.39404676622,0.0,0.0,5.34332747238e-22,8.50016534307e-18
Ir25a,3.57054618814,7.97330637586,0.0,10.3346301129,1.64562490228e-21,2.61786009455e-17
CG8654,2.18761143651,0.0588662316346,0.0,0.0,3.74897190047e-20,5.96386449928e-16
CG9990,5.08814428757,1.74757411062,7.35798011222,0.0,2.29695065525e-19,3.65398910237e-15
klg,10.0241156328,6.25936078283,10.428187527,8.26090233739,2.51794038449e-19,4.00553956365e-15
CR44525,1.76807596335,0.0865434743503,0.0,0.0,6.54761434566e-19,1.04159449011e-14
AnxB9,4.10045088299,0.990216947241,0.0,0.0,8.64564765781e-19,1.3753496294e-14
Eip93F,7.69123725449,5.32065155436,8.60564571924,5.93029220985,9.62756423731e-19,1.53155291887e-14
Adk1,4.98240969665,1.66951020624,7.44920928588,0.0,1.04127223327e-18,1.65645586868e-14
Wnt4,4.5297174487,1.68102673679,3.52722943548,0.0,1.14020041992e-18,1.81383082801e-14
CG7786,0.0883246490725,2.56793082615,0.0,0.0,1.19679524713e-18,1.90386187913e-14
CG30158,2.91452968337,0.505547098571,0.0,0.0,1.30973560545e-18,2.08352740115e-14
dati,0.536928827756,3.25003758604,0.0,0.0,6.90887299558e-18,1.09906351614e-13
CG43729,6.199144208,8.43968071884,7.95904480088,9.62463127988,9.72590861745e-18,1.54719754286e-13
CG15130,0.292609818565,2.50639846748,0.0,0.0,2.18110464137e-17,3.4697012635e-13
fred,0.68849137303,2.8668342405,0.0,0.0,2.67396018208e-17,4.25373585766e-13
TrpA1,2.4748105903,0.266341131093,0.0,0.0,1.38618175525e-16,2.20513793625e-12
SKIP,3.8474794096,1.2481488154,1.14806033806,0.0,1.8991469454e-16,3.02116296075e-12
CG34380,8.05189557403,5.21156448443,9.53497296523,6.46168894837,2.01349620645e-16,3.20306976522e-12
ATPsynC,12.0138020779,12.63406096,12.2393293942,12.8284870057,3.92193412364e-16,6.23901280388e-12
Tsp39D,10.3628998844,8.94380456863,10.5893492459,9.77620497075,5.0317499411e-16,8.0045078063e-12
Rbp6,10.2711211238,11.6151670449,11.0059651456,11.7144440832,1.27315295433e-15,2.02533171975e-11
tyn,3.00274615373,0.555129193038,0.0,0.0,1.89262527275e-15,3.01078828389e-11
IA-2,3.76877285809,1.41274456103,1.5945826721,0.0,2.56541113432e-15,4.08105603248e-11
nAChRalpha5,3.42961971227,1.18513991153,1.56448599767,0.0,3.42734376593e-15,5.45221846285e-11
CG14079,1.65273610448,4.56170206533,0.0,6.11988732536,3.50918281793e-15,5.58240802676e-11
CG30095,0.958579866695,3.71368001039,0.0,0.0,8.66807423163e-15,1.37891724877e-10
Shab,4.34258608721,7.22295571024,3.83632525114,8.81690545335,9.12187007381e-15,1.45110709134e-10
nemy,12.0972631592,9.4554335127,12.2314289005,11.3486620167,1.0241221783e-14,1.62917356124e-10
emc,0.419704619534,3.48660482088,0.0,0.0,1.13125638122e-14,1.79960265124e-10
pros,2.0893445557,0.144249935048,0.0,0.0,1.687333312e-14,2.68420983273e-10
dac,0.14571972814,1.98677998245,0.0,0.0,1.73427009527e-14,2.75887686755e-10
LysX,2.17582539902,0.401133105058,0.0,0.0,3.1273525894e-14,4.97499249922e-10
Fer1,10.1531716341,6.73141864159,10.7012021324,9.7563639105,5.37930591975e-14,8.55739985714e-10
CG4546,8.10616863311,4.60119152895,9.72473248925,0.918943757905,6.01129326947e-14,9.56276533308e-10
H15,2.53371180354,0.483447047967,0.0,0.0,7.73522540505e-14,1.23051965744e-09
CG33543,3.29699261227,0.773944936885,0.0,0.0,8.76989288006e-14,1.39511455936e-09
CG10126,4.24990945351,1.55219820874,0.0,0.0,1.14660026075e-13,1.82401169481e-09
CG13300,1.9836340685,0.331099098325,0.0,0.0,5.68545210289e-13,9.04441720528e-09
Jheh3,0.655910150245,2.76979859773,0.0,0.0,1.10568777631e-12,1.75892811456e-08
Nep1,9.05872007509,6.02831222134,10.8328659861,8.59664421342,1.42601650173e-12,2.26850705095e-08
CG1688,2.63046569998,0.761631096506,0.0,0.0,1.60807384022e-12,2.55812386502e-08
Cbp53E,0.118158669944,1.70300387717,0.0,0.0,1.91633648739e-12,3.04850808414e-08
CG33639,2.71618077335,0.856131007614,0.0,0.0,2.13326087876e-12,3.39359140593e-08
CG32772,5.57904826492,2.89188037232,7.38218286709,0.0,2.34361780601e-12,3.72822720579e-08
CCHa1-R,1.36367068669,0.0847856399502,0.0,0.0,2.69136243738e-12,4.28141936538e-08
CG14044,0.0408929470944,1.59707642153,0.0,0.0,2.73822675881e-12,4.35597112792e-08
Gr93a,3.27638936631,1.03269438691,0.0,0.0,4.54335494662e-12,7.22756904908e-08
CG1358,3.00483394716,0.922133582007,0.0,0.0,4.88525830393e-12,7.77146890989e-08
CG16886,2.94259004245,0.956208700699,0.0,0.0,9.44832784327e-12,1.50303999331e-07
olf413,1.51971710222,3.98366736582,0.0,0.0,1.10429757441e-11,1.75671658138e-07
CG9416,2.20442678752,0.470403824526,0.0,0.0,1.16957391982e-11,1.86055819165e-07
fd96Cb,1.71306053501,0.229627406138,0.0,0.0,1.46625311075e-11,2.33251544858e-07
CG34353,0.231624559946,2.00952293076,0.0,0.0,1.60152258659e-11,2.54770213075e-07
unpg,0.00867649706376,1.76723260908,0.0,0.0,1.90746576532e-11,3.03439653947e-07
CG32150,6.40164623404,3.73953456983,8.70352465546,0.0,2.49196153677e-11,3.96421241269e-07
CAP,2.82862200015,5.34146054186,0.0,7.30000256405,2.89609427913e-11,4.60710677923e-07
Dll,9.40089427743,6.63458257517,9.90475853694,8.75985782189,3.46830963977e-11,5.51738697495e-07
Baldspot,6.5850441952,4.14348641394,9.05120205152,1.43216198066,3.62323615138e-11,5.76384406962e-07
CG40486,0.0846504408378,1.78436850583,0.0,0.0,4.5419899029e-11,7.22539753754e-07
CG16884,2.26865463587,0.587173126546,0.0,0.0,4.86015140327e-11,7.73152885232e-07
dysc,7.77992609848,9.20351421447,9.18307194096,10.0915989795,5.30370493438e-11,8.4371338096e-07
CG42747,1.26446058494,0.0638999711845,0.0,0.0,6.42353436426e-11,1.02185584667e-06
blw,10.8897231519,11.6845284875,11.5660856911,12.0897024843,8.22247655093e-11,1.30803156972e-06
CG34417,7.07659256751,4.71917234889,8.62068140344,4.78020380231,8.428792689e-11,1.34085234097e-06
CG34356,2.0940428216,0.393138511256,0.0,0.0,8.69351832117e-11,1.38296489453e-06
fas,0.965388152097,2.86258502339,0.0,0.0,9.50864078103e-11,1.51263457545e-06
CG43658,5.69832925868,3.50065937107,6.39847774101,0.0,1.0919022058e-10,1.73699802899e-06
SppL,6.88817623212,4.17905511149,8.98973478481,0.0,1.23433142992e-10,1.96357443871e-06
