symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
Mip,11.7430184693,0.0198609931227,11.9630827054,0.0,2.41372307963e-34,3.83975067507e-30
Wnt4,8.95650404382,0.106282884972,9.81524041602,0.0,2.05244888824e-32,3.26503569141e-28
Fas3,9.51639855277,0.694219982774,9.70092289127,0.0,2.5695412448e-25,4.08762621224e-21
kek1,6.07414493587,0.853312052686,6.49718149638,0.0,1.01867872273e-16,1.62051411212e-12
Gyc-89Db,3.79976529011,0.119809774288,5.36042092136,0.0,1.16815053261e-16,1.85829386728e-12
CG34362,9.92399851865,2.18567785476,10.5798159848,0.0,3.79886714857e-16,6.04323785995e-12
CG34354,5.17390283806,0.606616440701,4.42804275883,0.0,3.90851981274e-16,6.21767331811e-12
CG45263,6.73759567517,0.781117987737,8.66264322236,0.0,9.53068154994e-16,1.51614082096e-11
mid,4.86780920253,0.0761419677189,3.2200886947,0.0,2.36093954659e-15,3.75578263072e-11
fabp,0.0888649524677,9.41184588488,0.0,9.74926566074,2.46891633794e-15,3.9275521104e-11
CR46029,2.5225203241,0.13465791041,1.03864947874,0.0,5.70096889727e-14,9.06910132177e-10
unc-4,4.19929467598,0.0674337221977,0.0,0.0,8.32190622514e-14,1.3238488423e-09
CG31676,8.1742267111,12.4841941764,9.58931005445,12.5856185365,1.63699458882e-13,2.60413099189e-09
Dll,10.9371331113,5.0585629437,11.1437950364,7.01206155059,2.60016046354e-13,4.13633526539e-09
Nep5,8.29701960168,1.53276252351,10.3700717742,0.0,2.84666135933e-13,4.52846889042e-09
hoe2,4.49300469281,0.185826742454,0.78947761079,0.0,4.71891812582e-13,7.50685495455e-09
Tsp42Ef,2.23187185272,11.0176788962,0.0,11.9941661369,4.92344304261e-13,7.83221319218e-09
emc,9.80331091483,2.647154063,10.4081889308,0.0,6.65408084484e-13,1.0585311808e-08
TkR86C,3.66457941892,0.0304779890199,0.0,0.0,1.07939407018e-12,1.71710008685e-08
CR46078,1.04341583089,0.0143288996072,0.0,0.0,1.2411322387e-12,1.97439316532e-08
mamo,0.0416077719292,6.52993590647,0.0,8.05038340154,1.28695348745e-12,2.04728560784e-08
CG13578,13.1990525616,11.1490689962,13.1208226198,11.9495131251,1.55524604811e-12,2.47408541334e-08
Act5C,4.21025205049,11.2034205896,0.0,11.4237848798,6.43171106541e-12,1.02315659629e-07
klg,10.7569106688,4.44625375065,11.0076781435,2.77460041645,9.23512832035e-12,1.4691242132e-07
GstS1,0.544290929059,8.37388695967,0.0,9.73751374038,1.39649871647e-11,2.22155015817e-07
CG43689,0.0,7.58932996451,0.0,9.62280456529,1.97520508218e-11,3.14215624473e-07
Lmpt,8.20782055736,2.22550986235,10.1879526409,0.0,5.67154825496e-11,9.02229896399e-07
CG33288,0.0326416852525,6.82091373541,0.0,8.9419326436,6.82885692839e-11,1.08633456017e-06
CG15545,6.25897482567,0.919857767287,9.06065124389,0.0,8.56316915538e-11,1.36222894924e-06
CG42806,0.0,5.83580225552,0.0,7.63383834014,1.18061520024e-10,1.87812266055e-06
Ir25a,12.2952672309,9.794332416,12.4849421199,10.780759095,1.41935834355e-10,2.25791525292e-06
CG32150,7.4585255428,2.08332895881,9.52134202241,0.0,1.70568652311e-10,2.71340612096e-06
CG14079,0.855903510728,7.22059512033,0.0,8.61651084605,2.57860411037e-10,4.10204341878e-06
sNPF,0.046701182185,6.59436186407,0.0,8.34774421922,4.0638495784e-10,6.46477190931e-06
CG11317,7.13144099225,1.74938613221,9.40803517147,0.0,4.51523191795e-10,7.18283093508e-06
CG44422,5.69325154408,1.23691704157,6.72209838556,0.0,4.76070226863e-10,7.57332516894e-06
CG1402,1.41139055789,0.0101372669384,0.0,0.0,5.34610896614e-10,8.50459014333e-06
CG4546,8.83354228083,2.99691644525,10.4028017516,0.0,5.54470008625e-10,8.82050889721e-06
tsr,1.28399798155,7.33427723806,0.0,8.4152510298,5.98574431818e-10,9.52212206136e-06
18w,4.46888005387,0.492923884752,3.05885755603,0.0,6.9450161234e-10,1.10481316491e-05
CG33177,0.0,6.63239927937,0.0,8.67318198725,8.90188384674e-10,1.41611168234e-05
vir-1,3.06037621951,0.147597755247,0.0,0.0,1.88975301979e-09,3.00621910388e-05
CR44960,0.0646506165396,6.15914245542,0.0,8.09436810307,2.39391763278e-09,3.80824417023e-05
CG7236,11.2705849925,9.09302858525,11.6029192665,9.85510933609,2.40435795554e-09,3.82485263567e-05
sta,6.97346116797,11.0698348727,9.7362340608,11.2444936272,2.61673051938e-09,4.16269491024e-05
Nep1,0.345660181735,7.35850790951,0.0,10.1507113695,2.63923479445e-09,4.19849471102e-05
Hsp23,0.32369926359,6.23745424339,0.0,8.13765353767,4.78299492932e-09,7.60878833357e-05
CG10527,0.465732309178,5.86894416071,0.0,7.59466951956,5.69052467274e-09,9.0524866494e-05
Fer1,0.046701182185,6.68334937391,0.0,9.79855392802,6.57773642284e-09,0.000104638631015
Hsp26,7.24994462829,10.6964439472,8.74911319336,10.8813110287,7.01604908919e-09,0.000111611308911
CG30095,0.3820895737,6.14064012361,0.0,8.02525305838,7.67696753297e-09,0.000122125199514
CG17778,12.0519883822,10.3206698959,12.1743289077,10.9466680931,8.02846702358e-09,0.000127716853411
shakB,3.68959362638,8.32608401956,2.28232218999,8.65482347141,8.59062792311e-09,0.000136659709001
Drl-2,0.071695133945,5.90092761405,0.0,7.93563595804,8.80916503384e-09,0.000140136197358
Calr,7.5282460503,10.6096579605,9.36736336681,10.890514112,9.4281580827e-09,0.00014998313878
Hsp27,1.57563417625,7.44552006052,0.0,8.9136569814,9.47987080555e-09,0.000150805784775
SmB,0.0,4.97290818666,0.0,7.05086239973,1.44658510686e-08,0.000230122758799
chrb,9.87437244701,7.01678991874,10.9238149522,8.6234224239,1.49196062387e-08,0.000237341096045
CG33178,0.228286481448,3.74486677301,0.0,4.71646132097,1.70083111547e-08,0.00027056821385
Ef1alpha100E,8.33503899627,11.4710661929,10.437390071,11.7254811739,1.71334500741e-08,0.000272558923778
pdm3,0.647266909461,5.67186482318,0.0,7.3908524184,1.94836259509e-08,0.000309945521626
Ald,1.11037869727,6.94474108121,0.0,8.93818404731,3.97962334844e-08,0.000633078482271
GstE4,0.0534749624135,6.70822312118,0.0,9.17062960998,4.02850396113e-08,0.000640854410137
Act42A,5.33477988939,10.5858939415,7.13509818751,10.9945222545,4.04251991552e-08,0.000643084068161
Cyp1,8.66581743712,10.660923964,9.79463856721,10.9130731227,4.14394943366e-08,0.000659219475907
CG32982,1.12651791574,5.13660179121,0.0,5.43808329057,6.02652424493e-08,0.000958699476883
GstE3,0.0,5.05081398095,0.0,7.04354113199,6.05071530071e-08,0.000962547790037
fred,0.0,3.64212957213,0.0,4.03012588753,6.05071530071e-08,0.000962547790037
CG14431,2.26702189753,0.125263226459,0.0,0.0,6.17668935322e-08,0.00098258774231
HmgD,0.961506145289,6.15480610624,0.0,8.23702071332,6.28675623991e-08,0.00100009718264
LysRS,0.105821444008,4.43595284287,0.0,4.66161721821,6.72093932149e-08,0.00106916702726
Sp1,0.0,4.98516448208,0.0,6.97983649268,7.9785505293e-08,0.0012692278182
CG3961,0.460715521158,6.15904802696,0.0,8.26535913943,8.85322466856e-08,0.00140837098028
B4,6.33743820068,2.47515545971,7.31274681375,0.0,1.23702549234e-07,0.00196786015321
CG30158,3.1344890635,0.364765650157,0.0,0.0,1.71930898787e-07,0.0027350767379
Mical,0.241408739722,5.05464747849,0.0,6.34414593893,1.92632980392e-07,0.00306440545207
dpr16,1.55695915101,0.0490916914714,0.0,0.0,1.98469889014e-07,0.00315725899443
sea,0.0,3.08258058843,0.0,3.95059564781,2.3386188691e-07,0.00372027489697
CG15923,6.26537609184,2.15682443621,7.80812025057,0.0,2.99061064518e-07,0.00475746341435
Eaat2,10.1698393233,7.13932384057,11.1734639061,9.22361437336,3.0040824908e-07,0.00477889442637
Nckx30C,0.0,3.76235987674,0.0,2.37820862566,3.03691339428e-07,0.00483112182762
Hydr2,1.04864055832,6.27569014592,0.0,8.71279914653,3.41458459011e-07,0.00543192116594
prtp,0.577863706727,5.34755093453,0.0,7.35850610712,3.67589578613e-07,0.00584761501658
His4r,11.6904876178,10.8474495014,11.7993298635,11.03093135,3.86391462076e-07,0.00614671537871
Pde1c,7.30137050735,3.21462519264,9.06710898507,1.37564221387,5.6881063597e-07,0.00904863959701
CG42322,0.0,4.48005347748,0.0,3.93464653395,6.5342623075e-07,0.0103947044788
cib,2.00852841107,6.80585643257,0.0,8.32322868209,6.79112016061e-07,0.0108033139515
dati,0.210804898776,4.58081357802,0.0,4.54711163333,7.29547759963e-07,0.0116056457655
GstD2,7.01880503754,2.22665919528,8.86382527051,0.0,7.57815957553e-07,0.0120553362527
Sod,1.74290105848,6.73740144628,0.0,8.30073321568,7.60088617342e-07,0.0120914897247
Pdi,1.2139534721,5.95376150841,0.0,8.0933901497,1.05084173105e-06,0.0167167902575
CR42491,2.09707649892,6.43380910496,0.0,7.72372695151,1.12701479262e-06,0.017928551321
zfh2,11.3961521151,9.32875324087,11.8303723559,10.279962554,1.17749573986e-06,0.0187316022298
PyK,0.393512075358,4.85457884306,0.0,5.91496513752,1.25416620316e-06,0.0199512759599
CG11577,0.361814891168,1.98240305081,0.0,1.08972290698,1.28092774136e-06,0.0203769985095
OstDelta,0.413086813095,5.60602110062,0.0,8.50221608256,1.29045704135e-06,0.0205285906139
Msp300,1.83077197856,6.91765116232,0.0,8.40279935872,1.3135404435e-06,0.0208958013752
CG32772,5.9012294168,1.76515101624,6.85166947722,0.0,1.38044038777e-06,0.0219600456887
Sdc,2.95115407365,7.08201381244,1.06603158003,8.61891623143,1.59315500119e-06,0.025343909759
RpL41,3.02644060578,6.46813803457,0.394077495021,7.03176712111,1.60937045726e-06,0.025601865234
CG5059,5.92676645854,2.31371265521,8.23182344144,0.0,1.81079717445e-06,0.0288061614511
CG3800,2.00685227225,6.67286008856,0.0,7.70386555311,1.85621241096e-06,0.0295286270336
Manf,0.619070579629,4.78174812153,0.0,6.73730462749,1.9038315154e-06,0.030286151747
COX7A,6.45840035912,9.39220071452,8.25824028497,9.4572144552,1.9757965724e-06,0.0314309718737
CG15047,1.1375655549,0.0,0.0,0.0,2.38273187204e-06,0.0379044986204
Hsp67Ba,0.0,3.34488845317,0.0,1.47233604774,2.80267376029e-06,0.0445849341787
beat-IV,3.41353692139,0.765391517404,0.0,0.0,2.8109417842e-06,0.0447164619031
CG8012,1.29995604997,0.0362419011064,0.0,0.0,2.82705576863e-06,0.0449728031673
CG15130,6.11378524632,2.65266502973,7.40386402148,0.0,3.03971297818e-06,0.0483557540568
Eip93F,7.44207430432,4.83874458608,8.49792543268,5.17067365695,3.04410405958e-06,0.0484256073799
Tm1,1.636775387,5.74399267044,0.0,7.5792906537,3.04575202063e-06,0.0484518231441
RYa-R,0.419924781284,0.0228653210322,0.0,0.0,3.44967572258e-06,0.0548774413949
Ref1,2.89649091541,7.27638180836,0.0,8.85723525797,3.57916762956e-06,0.0569373986511
GstD11,0.974082290812,5.12457252305,0.0,7.42175912478,3.70304725488e-06,0.0589080757306
Hel25E,1.5968818466,6.92589106563,0.0,8.95513993228,3.84318048285e-06,0.0611373151212
CAP,1.56003789122,6.23596748122,0.0,8.19790320445,5.6872638114e-06,0.0904729927117
CG4577,2.17569886887,0.279481144198,0.0,0.0,6.0948415404e-06,0.0969567392247
eIF-2beta,0.447622674927,4.11627900143,0.0,5.16985059238,6.1972024157e-06,0.098585096029
ND-ACP,4.0182009088,7.09638714857,4.80267346204,8.06819819994,6.24936216684e-06,0.09941485335
SmE,0.0,2.8170453687,0.0,0.0,7.01189003183e-06,0.111545146626
drl,0.992022559827,5.31506401124,0.0,7.78625991554,8.25233314856e-06,0.131278115727
Hmu,1.10202090027,4.88801522302,0.0,6.01521990001,8.34622025006e-06,0.132771671738
chic,5.84459458288,9.00230450135,8.08562166462,9.60736122645,8.86497431069e-06,0.141024011334
Hsc70-3,5.60573445798,9.4801072806,8.5030875176,10.4768257276,8.92683580442e-06,0.142008103977
Tctp,4.38178416782,8.59600776917,2.89425390797,9.4227012473,9.38188416444e-06,0.149247013288
Nlp,0.361318827806,3.86284827649,0.0,3.3838256378,9.44638635304e-06,0.150273114104
CG13298,1.11657283087,4.55495348875,0.0,6.1689728833,1.06892917621e-05,0.170045253351
CG7786,0.0472345324023,4.01056322896,0.0,0.0,1.07433656877e-05,0.170905461359
Uev1A,2.39305970893,6.37356116289,0.0,7.97840856042,1.10060641554e-05,0.175084468585
Nrg,9.2326090134,7.54754736579,10.2760999966,8.74315708541,1.12134547356e-05,0.178383637934
Ptp99A,3.79441085688,7.32378430807,3.17673296939,7.8840400861,1.16037896913e-05,0.184593086409
olf413,0.890082445192,4.88682564043,0.0,7.20324477602,1.18552210913e-05,0.188592857121
Cp1,2.02810987077,5.74773565596,0.0,7.18752121662,1.23872339084e-05,0.197056117014
Maf1,1.24173052313,4.47207265273,0.0,5.80725375674,1.32064334609e-05,0.210087943496
CG13325,0.0,2.22781162569,0.0,0.0,1.35809546612e-05,0.21604582675
ATPsynC,12.4384292745,12.9765456024,12.6097443619,13.0179484502,1.4058990577e-05,0.223650422099
Tsp42Ej,2.34224940976,7.27548113102,0.0,8.6667634766,1.44754714838e-05,0.230275800365
Cct5,1.8265965843,6.41878934329,0.0,8.83544546619,1.46005209285e-05,0.232265086931
OstStt3,1.62975675196,6.37575759407,0.0,8.7675758062,1.56967137461e-05,0.249703322272
alphaTub84B,12.5141244504,13.1061248459,12.5723350829,13.2668745064,1.65372358553e-05,0.263074347987
Rpt3,1.56040568005,6.04340299431,0.0,8.08461208541,1.67393100352e-05,0.266288944039
Uch,0.0,3.29924055523,0.0,0.0,1.68458683514e-05,0.267984073735
Rack1,3.64154083529,8.03326759198,0.0,9.19990900782,1.76891121538e-05,0.281398396142
Glut4EF,5.23065336433,1.96721786998,6.77627643578,0.0,1.84234110162e-05,0.293079622446
mAChR-A,3.77916417816,2.38552905662,3.84874262757,2.24892192491,1.99970935743e-05,0.31811376458
P32,1.1068766997,5.35347366206,0.0,7.86792153708,2.03675142446e-05,0.324006416603
eIF-5A,3.09947602597,7.47728035677,0.0,8.39250372316,2.06609678508e-05,0.328674676571
