symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
CR44960,10.1137542618,1.81180612204,10.1559477973,0.0,4.14742247211e-14,6.59771966863e-10
CG33177,10.7736456029,2.00111169005,10.7183265374,0.0,5.54511036224e-14,8.82116156426e-10
CG33178,6.79096713947,0.901043052563,6.8279270706,0.0,1.65917985169e-13,2.63942330808e-09
Sp1,0.723767866191,8.65080011282,0.0,9.16875204029,1.62920837892e-12,2.59174468919e-08
CG10126,9.318159442,2.03038761882,10.147611787,0.0,5.79300096911e-11,9.21550594166e-07
ATPsynC,10.2704497264,12.3640276995,10.9176387611,12.3220449047,1.07716280825e-10,1.71355059537e-06
GstS1,1.24777389538,8.92097425176,0.0,10.3349236601,1.91734693308e-10,3.05011550115e-06
Ggamma30A,6.53642554387,11.4854575136,8.89673565615,11.7079695557,3.00550086275e-10,4.78115077246e-06
B-H1,0.0,5.18308958308,0.0,6.86665191474,1.53064820534e-08,0.000243495516505
Vha100-2,7.32409751832,1.07564935965,9.36997732237,0.0,6.46727653448e-08,0.0010288143511
heph,8.73992834277,4.01835270831,9.26862845739,3.88379777822,8.22888597607e-08,0.00130905118107
Rbp6,6.3459324881,10.4457674154,7.63597847105,10.8021491775,1.85532734969e-07,0.00295145474789
SKIP,6.19715185271,0.937394682546,8.21802529157,0.0,2.03160880208e-07,0.00323188328235
rdgA,8.32930227524,4.87281490479,9.20506210715,5.42669098916,3.01141244364e-07,0.00479055491534
klg,10.7419484723,8.46941994501,10.7402688579,9.17286721426,3.1502494116e-07,0.00501141676398
CG6867,6.79766183727,0.590840699238,9.97952807281,0.0,3.83003203862e-07,0.00609281496703
Wnt4,4.07878473938,8.77472789509,4.03553816562,9.43486874522,4.20038614346e-07,0.00668197427701
bab1,0.0,3.39225666671,0.0,0.84836691544,5.20551420103e-07,0.00828093199099
Mmp2,5.62163828411,1.14851575965,7.66239513625,0.0,5.9543357157e-07,0.00947215725653
TrpA1,1.28005512011,6.63929619526,0.0,8.31094468372,6.322734448e-07,0.0100582059599
scrt,4.74697017002,9.04904478353,6.27713880598,9.20454967159,7.71684025786e-07,0.0122759494822
CG31221,3.72635994662,8.96683069129,0.621528654495,9.76175102239,1.14742200182e-06,0.018253189205
Sema-2b,1.34773044356,6.0020235168,0.0,7.76572335167,1.21217725149e-06,0.0192833157167
disco-r,2.41011246126,6.1951419881,1.36293171831,7.26787342657,1.67882366689e-06,0.0267067268929
Atpalpha,13.1065801412,13.8023311563,13.0931975038,13.8050616004,2.39839902536e-06,0.0381537316954
CG31676,3.79084030919,10.1912892319,0.0,10.5809363819,2.4043970022e-06,0.0382491475111
Tsp66E,0.800232182123,5.44908828562,0.0,7.55464014585,3.26192738642e-06,0.0518907408632
tsr,1.18443281879,5.50717260805,0.0,7.28515268158,3.59301162458e-06,0.0571576289238
COX8,6.22110939451,8.27329955514,7.70261769645,8.82614200201,4.19465034295e-06,0.0667284976557
NetB,3.94739263748,0.031807272613,0.0,0.0,4.47991583747e-06,0.0712665011424
SPR,2.81200394832,0.0850383712903,0.0,0.0,5.48504067676e-06,0.087256027086
Frq1,10.0993095682,8.7505595413,10.7212914602,9.31130926497,5.62956554647e-06,0.0895551287132
B-H2,0.0,3.43219959216,0.0,0.0,5.87400938744e-06,0.0934437413354
CG34342,3.66758499588,0.0,0.0,0.0,7.49595204803e-06,0.11924560518
Mp,7.47081047683,3.73471750168,8.78037068747,4.58271600089,7.6283900052e-06,0.121352428203
blw,8.01306556366,11.4146468189,9.96963895419,11.5660856911,7.78822089734e-06,0.123895018035
ATPsyngamma,4.8666043931,9.16424545006,6.24135692752,10.0088563491,7.99653235088e-06,0.127208836638
CG16791,0.991726025377,4.41977287842,0.0,4.82752507196,8.15200177696e-06,0.129682044268
nolo,0.252470591337,3.40459103875,0.0,0.0,8.92461452926e-06,0.141972767932
CG12643,2.56713248775,7.04728838857,0.0,8.65444595698,8.97288275617e-06,0.142740618885
ATPsynbeta,10.7147096043,12.1911600565,11.5889898645,12.2497657488,9.07113978166e-06,0.144303691647
CCHa1-R,0.261707886268,3.21873423451,0.0,1.12538945652,9.63083693846e-06,0.153207354017
dpr2,2.18554209296,6.84481354957,0.0,8.92908997899,1.19912755095e-05,0.190757210806
Ephrin,0.0,2.71775761881,0.0,0.0,1.26783388071e-05,0.201687013743
Shawl,3.93592822546,0.422727532015,1.3039026468,0.0,1.29709317889e-05,0.206341582898
sm,3.15161494965,8.04107319436,0.883350069128,9.26387527336,1.516711626e-05,0.241278485463
Tl,0.520170205739,3.10247778454,0.0,1.5920072837,1.64732746391e-05,0.262056852958
Ef1alpha100E,8.88798244635,10.8012253321,10.3900349891,11.4678943308,2.02273772263e-05,0.321777116916
pdm3,0.497458458571,3.61210633769,0.0,0.859490878321,2.25194833327e-05,0.358239940856
Hsp60,1.27647114502,5.82364629604,0.0,8.37069642835,2.55006652228e-05,0.405664582364
CG44837,3.22620968268,0.143320084179,0.0,0.0,2.76950332405e-05,0.44057258879
ab,0.725213278332,3.94776273482,0.0,6.16027946973,2.98532935122e-05,0.474906193192
GstD1,7.56166724382,9.81759643965,9.40738123568,10.8307274624,3.10310518865e-05,0.49364197341
clu,0.479968078535,3.44442720977,0.0,4.52673267689,3.22033890256e-05,0.512291512619
CG11876,1.05809200056,5.01006531086,0.0,6.28901790971,3.66493495641e-05,0.583017852866
CG34362,8.04419523328,4.80927798535,9.49022344289,6.86866847181,3.78371182111e-05,0.601912876502
dpr1,8.98089362919,6.46436658466,9.68544699497,7.47489111423,4.99008329506e-05,0.793822450578
levy,4.21332262524,7.40893808283,5.59808433605,8.49539263151,5.23310439477e-05,0.83248224712
Bap55,0.185658817606,3.09429103663,0.0,0.0,5.23979905654e-05,0.833547233915
Rpn7,2.80111849179,6.93539808004,0.0,8.90396227829,6.07776404067e-05,0.966850703589
Mpcp,2.61980616182,6.86264944698,0.0,8.97342924769,6.13564979266e-05,0.976059169017
Dip-B,0.441605954816,3.29720573752,0.0,0.0,6.15795139113e-05,0.9796069073
CG14483,0.649779365764,2.74432203304,0.0,3.37276024721,6.27069686067e-05,0.997542456595
ND-75,2.00092167345,6.32909184282,0.0,9.03081818809,6.80130395667e-05,1.08195143343
CG31183,0.251691529154,2.18518204568,0.0,0.0,9.12704633542e-05,1.45193053104
shep,5.45650855279,8.7989608175,7.06661083721,9.48327335347,9.83915161385e-05,1.56521223873
ATPsynF,4.59893885148,7.47263846574,6.73842357322,8.43695171269,0.000103508150501,1.64660765817
Gdh,7.57451265548,9.83886030584,9.18203231176,10.9576913275,0.000106356579362,1.6919204645
CG32698,0.0,1.97278265966,0.0,0.0,0.000114785192252,1.82600283834
bdg,0.0,1.96670094026,0.0,0.0,0.000114785192252,1.82600283834
Scsalpha,3.52579032476,7.39998389967,0.0,9.30289705361,0.000141847425209,2.25650884022
bab2,0.923441550632,3.78584526272,0.0,2.60611077881,0.000143826774314,2.28799632579
CG7630,6.20681516309,8.06241150213,7.49449459728,8.56894713588,0.000149077162545,2.37151950176
glec,7.88875911622,9.96593426151,9.17483984173,10.2575177414,0.000150854736267,2.39979714454
mt:ATPase8,2.96738126264,4.20025311277,2.99215334528,4.10087112749,0.000151000847591,2.40212148348
TrissinR,0.24611225476,2.93829251995,0.0,0.0,0.000153131566094,2.43601695342
Prx3,2.08381910237,5.9301080327,0.0,7.84506375316,0.000154028971499,2.4502928786
cpo,12.9814418952,12.3858958536,13.1345944944,12.3108877091,0.000157576410203,2.50672553351
beat-VII,2.41387779956,0.0,0.0,0.0,0.000159948420255,2.54445946941
CG42313,0.246191992978,2.69827806956,0.0,0.0,0.000172661008254,2.74669131931
Rpb10,1.12288989539,3.80777322154,0.0,5.07975910805,0.000179580024107,2.85675902349
CG42240,0.465562354109,3.35487325876,0.0,0.0,0.000181362152458,2.8851091213
sesB,5.91307344189,8.50157334722,8.50297273462,9.98139997046,0.000191384739374,3.04454843396
Act5C,5.27219747638,9.41297591367,5.84796686006,10.196147961,0.000197115491375,3.13571323679
CadN,4.11363127977,7.48018506293,3.77439661433,8.65892718611,0.000205573176135,3.27025808595
ATPsyndelta,4.19243922208,7.31306626605,4.17574045245,8.37633990652,0.000216935507528,3.45101005376
ND-15,0.998242681664,4.08138459865,0.0,5.4659761053,0.000233671088426,3.71723967468
disco,1.21598817951,4.41718860287,0.0,5.64174457781,0.000253604972366,4.0343479004
TkR86C,3.54040783093,0.625123746261,0.0,0.0,0.00026637220204,4.23744899006
CG14762,5.68957585065,9.12097703938,8.53850014724,9.73082283235,0.000282644542821,4.4963093872
shakB,3.98595506814,7.02537449632,4.68223616208,7.78578650538,0.000297109579087,4.72641918412
Fie,2.03373405921,5.74829788558,0.0,8.27050414641,0.000297223110165,4.7282252365
H15,1.19909280884,4.53047379547,0.0,7.17508566447,0.000309489816334,4.92336399824
