symbol,meanA,meanB,medianA,medianB,pvalue,pvalue_adj
CG43689,7.58932996451,0.0633174327443,9.62280456529,0.0,1.1116695786e-52,1.76844396563e-48
mamo,6.52993590647,0.48111820474,8.05038340154,0.0,1.92981309422e-48,3.06994667028e-44
fabp,9.41184588488,3.54418729583,9.74926566074,0.0,5.19595107912e-44,8.26571897666e-40
eyg,0.221002543835,7.94117194357,0.0,9.56347912981,6.03227186726e-43,9.59613808643e-39
CG31676,12.4841941764,7.48797842743,12.5856185365,9.75538898758,4.09424455214e-41,6.51312423354e-37
toe,0.286035736624,6.28662859054,0.0,7.90012462047,4.86060001466e-37,7.73224250333e-33
CG14079,7.22059512033,1.65273610448,8.61651084605,0.0,2.84386111882e-32,4.52401426783e-28
klg,4.44625375065,10.0241156328,2.77460041645,10.428187527,1.06075184871e-30,1.68744404093e-26
CG30095,6.14064012361,0.958579866695,8.02525305838,0.0,1.68387529332e-30,2.67870881661e-26
Con,4.34577068078,9.51046329693,3.86699596122,10.4578844903,2.56443443368e-29,4.0795022971e-25
Wnt4,0.106282884972,4.5297174487,0.0,3.52722943548,9.69773118829e-29,1.54271507743e-24
bru-3,5.83616781635,1.23754829656,7.22040779277,0.0,2.27564046632e-28,3.62008885383e-24
disco-r,0.0192860515887,3.73499331736,0.0,3.54504833927,3.23848404128e-28,5.15178041287e-24
CG7786,4.01056322896,0.0883246490725,0.0,0.0,6.246520097e-28,9.9369641703e-24
nemy,9.1997269092,12.0972631592,10.7886404363,12.2314289005,6.53949053164e-28,1.04030215377e-23
Frq1,6.16831360209,9.95661656053,7.87478918295,10.4817121461,3.68566057084e-27,5.8631488361e-23
Ir25a,9.794332416,3.57054618814,10.780759095,0.0,5.07063049049e-27,8.06635898427e-23
ATPsynC,12.9765456024,12.0138020779,13.0179484502,12.2393293942,1.55906203831e-26,2.48015589055e-22
dati,4.58081357802,0.536928827756,4.54711163333,0.0,7.77182040459e-25,1.23634118996e-20
dac,3.18180787491,0.14571972814,0.0,0.0,2.92873259539e-24,4.65902781275e-20
CG43729,9.65816668448,6.199144208,9.8969842077,7.95904480088,1.41709346363e-23,2.25431228195e-19
mid,0.0761419677189,4.3981064305,0.0,1.8379365914,1.60384425077e-23,2.55139543412e-19
unpg,3.85641748884,0.00867649706376,0.0,0.0,2.10615415762e-23,3.35047003395e-19
Dll,5.0585629437,9.40089427743,7.01206155059,9.90475853694,2.43374270728e-23,3.87159789875e-19
CG40486,3.83208993104,0.0846504408378,0.0,0.0,5.20000046728e-23,8.27216074334e-19
Toll-7,1.17039583647,5.70518342023,0.0,7.05946937755,5.6593215707e-22,9.00284875466e-18
Cbp53E,3.07333798748,0.118158669944,0.0,0.0,1.19914800863e-21,1.90760465214e-17
fred,3.64212957213,0.68849137303,4.03012588753,0.0,2.47350241303e-21,3.93484763865e-17
CG4546,2.99691644525,8.10616863311,0.0,9.72473248925,4.21323288243e-21,6.70241086937e-17
